iter	Passed	Remaining
541	2865	2421
542	2869	2414
543	2875	2410
544	2880	2404
545	2884	2398
546	2888	2392
547	2893	2386
548	2898	2381
549	2902	2375
550	2907	2369
551	2912	2364
552	2917	2357
553	2922	2352
554	2927	2347
555	2931	2341
556	2936	2335
557	2940	2329
558	2945	2323
559	2950	2318
560	2954	2312
561	2959	2306
562	2964	2301
563	2969	2295
564	2974	2289
565	2978	2283
566	2982	2277
567	2987	2272
568	2992	2266
569	2997	2260
570	3002	2255
571	3006	2249
572	3011	2244
573	3015	2238
574	3020	2232
575	3025	2226
576	3029	2221
577	3035	2215
578	3040	2210
579	3045	2205
580	3049	2198
581	3053	2193
582	3058	2187
583	3062	2181
584	3067	2175
585	3071	2169
586	3076	2164
587	3080	2158
588	3085	2152
589	3090	2147
590	3095	2141
591	3099	2135
592	3105	2131
593	3111	2126
594	3114	2120
595	3119	2114
596	3124	2109
597	3128	2103
598	3132	2097
599	3137	2091
600	3141	2085
601	3146	2080
602	3150	2074
603	3155	2068
604	3159	2062
605	3163	2057
606	3168	2051
607	3173	2046
608	3178	2040
609	3182	2034
610	3187	2029
611	3192	2023
612	3195	2017
613	3199	2011
614	3203	2005
615	3207	1999
616	3212	1993
617	3216	1988
618	3221	1982
619	3225	1977
620	3230	1971
621	3235	1966
622	3241	1961
623	3245	1955
624	3249	1949
625	3252	1943
626	3257	1937
627	3262	1932
628	3265	1926
629	3270	1920
630	3275	1915
631	3279	1909
632	3284	1904
633	3288	1898
634	3293	1892
635	3297	1886
636	3302	1881
637	3308	1877
638	3313	1871
639	3317	1866
640	3322	1860
641	3326	1855
642	3331	1849
643	3335	1843
644	3339	1838
645	3344	1832
646	3349	1827
647	3353	1821
648	3358	1816
649	3362	1810
650	3366	1804
651	3370	1799
652	3375	1793
653	3379	1787
654	3383	1781
655	3387	1776
656	3392	1771
657	3397	1765
658	3401	1760
659	3406	1754
660	3410	1749
661	3415	1743
662	3420	1738
663	3424	1733
664	3429	1727
665	3433	1722
666	3438	1716
667	3443	1711
668	3447	1705
669	3451	1700
670	3456	1694
671	3460	1689
672	3465	1683
673	3469	1678
674	3474	1672
675	3478	1667
676	3486	1663
677	3491	1658
678	3496	1652
679	3500	1647
680	3503	1641
681	3507	1635
682	3512	1630
683	3516	1624
684	3521	1619
685	3525	1613
686	3530	1608
687	3535	1603
688	3539	1597
689	3544	1592
690	3549	1587
691	3553	1581
692	3557	1575
693	3561	1570
694	3566	1564
695	3570	1559
696	3575	1554
697	3580	1549
698	3584	1543
699	3589	1538
700	3594	1533
701	3598	1527
702	3603	1522
703	3608	1517
704	3614	1512
705	3619	1507
706	3624	1501
707	3629	1496
708	3633	1491
709	3637	1485
710	3643	1480
711	3647	1475
712	3652	1470
713	3656	1464
714	3661	1459
715	3667	1454
716	3672	1449
717	3676	1443
718	3681	1438
719	3685	1433
720	3690	1428
721	3694	1422
722	3699	1417
723	3704	1412
724	3708	1406
725	3711	1400
726	3716	1395
727	3721	1390
728	3725	1384
729	3730	1379
730	3734	1374
731	3739	1368
732	3744	1363
733	3748	1358
734	3752	1353
735	3757	1347
736	3762	1342
737	3766	1337
738	3771	1332
739	3776	1326
740	3780	1321
741	3785	1316
742	3790	1311
743	3794	1305
744	3799	1300
745	3803	1295
746	3807	1289
747	3812	1284
748	3816	1279
749	3820	1273
750	3824	1268
751	3829	1262
752	3833	1257
753	3837	1252
754	3842	1246
755	3847	1241
756	3851	1236
757	3856	1231
758	3860	1225
759	3865	1220
760	3869	1215
761	3873	1209
762	3877	1204
763	3881	1198
764	3886	1193
765	3890	1188
766	3895	1183
767	3901	1178
768	3905	1173
769	3910	1167
770	3914	1162
771	3918	1157
772	3923	1152
773	3927	1146
774	3932	1141
775	3936	1136
776	3941	1131
777	3945	1125
778	3950	1120
779	3954	1115
780	3958	1110
781	3963	1104
782	3968	1099
783	3972	1094
784	3977	1089
785	3980	1083
786	3985	1078
787	3990	1073
788	3994	1068
789	3999	1063
790	4003	1057
791	4008	1052
792	4013	1047
793	4017	1042
794	4020	1036
795	4024	1031
796	4031	1026
797	4036	1021
798	4040	1016
799	4044	1011
800	4049	1005
801	4053	1000
802	4058	995
803	4062	990
804	4067	985
805	4071	980
806	4075	974
807	4080	969
808	4085	964
809	4089	959
810	4093	954
811	4098	948
812	4102	943
813	4107	938
814	4112	933
815	4116	928
816	4120	923
817	4123	917
818	4127	912
819	4132	907
820	4137	902
821	4141	896
822	4146	891
823	4151	886
824	4155	881
825	4160	876
826	4165	871
827	4169	866
828	4174	861
829	4178	855
830	4183	850
831	4187	845
832	4192	840
833	4196	835
834	4201	830
835	4205	824
836	4209	819
837	4214	814
838	4218	809
839	4223	804
840	4227	799
841	4232	794
842	4236	789
843	4241	783
844	4246	778
845	4250	773
846	4257	769
847	4262	764
848	4266	758
849	4271	753
850	4275	748
851	4279	743
852	4284	738
853	4289	733
854	4294	728
855	4298	723
856	4303	718
857	4307	712
858	4312	707
859	4316	702
860	4321	697
861	4326	692
862	4330	687
863	4334	682
864	4339	677
865	4343	672
866	4347	666
867	4352	661
868	4357	656
869	4361	651
870	4366	646
871	4370	641
872	4375	636
873	4379	631
874	4383	626
875	4387	621
876	4393	616
877	4397	611
878	4402	606
879	4407	600
880	4411	595
881	4416	590
882	4420	585
883	4424	580
884	4429	575
885	4433	570
886	4438	565
887	4443	560
888	4447	555
889	4452	550
890	4457	545
891	4462	540
892	4467	535
893	4471	530
894	4476	525
895	4480	520
896	4484	514
897	4488	509
898	4494	504
899	4498	499
900	4502	494
901	4507	489
902	4512	484
903	4517	479
904	4523	474
905	4528	469
906	4533	464
907	4538	459
908	4542	454
909	4546	449
910	4551	444
911	4555	439
912	4559	434
913	4564	429
914	4568	424
915	4573	419
916	4578	414
917	4582	409
918	4587	404
919	4591	399
920	4596	394
921	4601	389
922	4605	384
923	4609	379
924	4614	374
925	4618	369
926	4623	364
927	4628	359
928	4632	354
929	4639	349
930	4645	344
931	4649	339
932	4654	334
933	4659	329
934	4663	324
935	4668	319
936	4672	314
937	4677	309
938	4682	304
939	4687	299
940	4691	294
941	4696	289
942	4700	284
943	4705	279
944	4709	274
945	4714	269
946	4719	264
947	4723	259
948	4728	254
949	4732	249
950	4737	244
951	4742	239
952	4746	234
953	4751	229
954	4756	224
955	4760	219
956	4764	214
957	4768	209
958	4774	204
959	4778	199
960	4783	194
961	4788	189
962	4793	184
963	4797	179
964	4801	174
965	4807	169
966	4812	164
967	4816	159
968	4820	154
969	4825	149
970	4830	144
971	4834	139
972	4838	134
973	4843	129
974	4847	124
975	4852	119
976	4856	114
977	4862	109
978	4867	104
979	4871	99
980	4876	94
981	4880	89
982	4885	84
